id,title,type,difficulty,topic,duration_minutes,difficulty_score,type_score,num_tags,num_subtopics,num_uganda_tags,uganda_focus_score
QC001,Introduction to Quantum Computing: Qubits and Superposition,article,beginner,quantum_computing,15,1,1,5,4,3,4.71
QC002,Quantum Computing for Problem Solving,video,intermediate,quantum_computing,25,2,2,4,4,4,5.54
QC003,Quantum Computing Fundamentals Quiz,quiz,beginner,quantum_computing,10,1,3,4,4,2,3.15
ML001,Machine Learning Fundamentals: A Practical Introduction,article,beginner,machine_learning,30,1,1,5,4,4,5.55
ML002,Supervised Learning: Classification and Regression,video,intermediate,machine_learning,45,2,2,4,4,3,4.42
ML003,Machine Learning for Agriculture,article,intermediate,machine_learning,40,2,1,5,4,3,4.84
ML004,Machine Learning Assessment Quiz,quiz,intermediate,machine_learning,15,2,3,3,3,2,2.9
DS001,Data Science with Python: From Zero to Analysis,article,beginner,data_science,35,1,1,4,4,4,5.4399999999999995
DS002,Data Visualization Best Practices,video,intermediate,data_science,30,2,2,4,4,4,5.57
AI001,Introduction to Artificial Intelligence,article,beginner,artificial_intelligence,25,1,1,4,4,4,5.54
AI002,Natural Language Processing Fundamentals,video,intermediate,artificial_intelligence,40,2,2,4,4,4,5.53
AI003,Computer Vision for Beginners,article,intermediate,artificial_intelligence,35,2,1,4,4,4,5.63
CS001,Introduction to Cybersecurity,article,beginner,cybersecurity,30,1,1,4,4,4,5.5600000000000005
CS002,Ethical Hacking and Penetration Testing,video,advanced,cybersecurity,60,3,2,4,4,4,5.62
WD001,"Web Development Fundamentals: HTML, CSS, JavaScript",article,beginner,web_development,45,1,1,5,4,4,5.68
WD002,Responsive Design for Mobile-First Africa,video,intermediate,web_development,35,2,2,5,4,4,5.46
WD003,Backend Development with Python Flask,article,intermediate,web_development,50,2,1,4,4,4,5.36
CC001,Cloud Computing Essentials,article,beginner,cloud_computing,30,1,1,4,4,4,5.73
CC002,Serverless Computing with AWS Lambda,video,intermediate,cloud_computing,40,2,2,4,4,3,4.65
DB001,Database Fundamentals: SQL and Relational Databases,article,beginner,databases,40,1,1,4,4,4,5.38
